item_name,item_id,abc,xyz,revenue
Photoshop 13 Windows Russian BOX,5748,B,X,245930.0
"Halo 5: Guardians. Ограниченное издание [Xbox One, русская версия] (CV3-00021)",3839,B,X,244965.0
"Assassin's Creed: Синдикат. Специальное издание [Xbox One, русская версия]",1584,B,X,239139.0
Sony PlayStation 4 (500 Gb) White (CUH-1208A/B01),6678,B,X,228528.0
"Assassin's Creed: Синдикат. Биг Бен [Xbox One, русская версия]",1579,B,X,204961.0
"Metal Gear Solid V: The Phantom Pain. Коллекционное издание [Xbox One, русские субтитры]",4844,B,X,158043.02
Артбук Мир игры Assassin's Creed Syndicate,8546,B,X,153375.0
"Pro Evolution Soccer 2016 [PS4, русские субтитры]",5907,B,X,140563.0
Шапка Adventure Time Jake плюшевая,21942,B,X,137861.0
"NHL 16 [Xbox One, русские субтитры]",5042,B,X,121968.0
